,title,genre,director,released_year,studio,rotten_score,audience_score
0,Us,"Horror,Mystery & Suspense",Jordan Peele,2019,Universal Pictures,94,62
1,Avengers: Endgame,"Action & Adventure,Drama,Science Fiction & Fantasy","Joe Russo,Anthony Russo",2019,Marvel Studios,94,91
2,Toy Story 4,"Animation,Comedy,Kids & Family,Science Fiction & Fantasy",Josh Cooley,2019,Disney/Pixar,98,94
3,If Beale Street Could Talk,"Drama,Romance",Barry Jenkins (III),2019,Annapurna Pictures,95,70
4,Booksmart,Comedy,Olivia Wilde,2019,United Artists,97,77
5,Shazam!,"Action & Adventure,Science Fiction & Fantasy",David F. Sandberg,2019,New Line Cinema,91,85
6,Spider-Man: Far From Home,"Action & Adventure,Science Fiction & Fantasy",Jon Watts,2019,Sony Pictures,90,96
7,Rocketman,Drama,Dexter Fletcher,2019,Paramount Pictures,90,88
8,They Shall Not Grow Old,"Art House & International,Documentary",Peter Jackson,2019,Warner Bros. Pictures,100,92
9,Apollo 11,Documentary,Todd Douglas Miller,2019,NEON,99,90
10,John Wick: Chapter 3 - Parabellum,"Action & Adventure,Drama",Chad Stahelski,2019,Lionsgate,90,87
11,Amazing Grace,"Documentary,Musical & Performing Arts","Apr 5,2019
 limited",2019,NEON,99,85
12,The Farewell,"Comedy,Drama",Lulu Wang,2019,A24,100,93
13,Ash Is Purest White,"Drama,Romance",Zhangke Jia,2019,Cohen Media Group,98,72
14,Knock Down the House,Documentary,Rachel Lears,2019,Netflix,100,34
15,How to Train Your Dragon: The Hidden World,"Action & Adventure,Animation,Kids & Family",Dean DeBlois,2019,Universal Pictures,91,87
16,Stan & Ollie,"Comedy,Drama",Jon S. Baird,2019,Sony Pictures Classics,93,86
17,Captain Marvel,"Action & Adventure,Science Fiction & Fantasy","Anna Boden,Ryan Fleck",2019,Marvel Studios,78,55
18,3 Faces,"Art House & International,Drama",Jafar Panahi,2019,Kino Lorber,98,67
19,Fighting with My Family,Comedy,Stephen Merchant,2019,MGM,92,83
20,Maiden,Documentary,Alex Holmes,2019,Sony Pictures Classics,99,96
21,Woman at War (Kona fer í stríð),"Action & Adventure,Art House & International,Mystery & Suspense",Benedikt Erlingsson,2019,Magnolia Pictures,97,91
22,Hail Satan?,Documentary,Penny Lane,2019,Magnolia Pictures,97,83
23,Birds of Passage (Pájaros de verano),Drama,"Cristina Gallego,Ciro Guerra",2019,The Orchard,96,89
24,Transit,"Art House & International,Drama",Christian Petzold,2019,Music Box Films,95,69
25,Wild Rose,"Comedy,Drama",Tom Harper,2019,NEON,93,87
26,Little Woods,Drama,Nia DaCosta,2019,NEON,96,52
27,Gloria Bell,"Comedy,Romance",Sebastián Lelio,2019,A24,91,44
28,The Last Black Man in San Francisco,Drama,Joe Talbot,2019,A24,93,84
29,The Heiresses (Las Herederas),Drama,Marcelo Martinessi,2019,DistriB Films,97,74
30,Toni Morrison: The Pieces I Am,Documentary,Timothy Greenfield-Sanders,2019,Magnolia Pictures,97,100
31,In Fabric,"Comedy,Horror",Peter Strickland,2019,A24,96,62
32,The Mustang,Drama,Laure de Clermont-Tonnerre,2019,Focus Features,94,75
33,The LEGO Movie 2: The Second Part,"Animation,Comedy",Mike Mitchell,2019,Warner Bros. Pictures,85,70
34,Shadow,"Action & Adventure,Art House & International,Drama",Zhang Yimou,2019,Perfect Village Entertainment,95,79
35,The Wild Pear Tree (Ahlat agaci),Drama,Nuri Bilge Ceylan,2019,Cinema Guild,95,79
36,The Kid Who Would Be King,"Action & Adventure,Kids & Family,Science Fiction & Fantasy",Joe Cornish,2019,20th Century Fox,89,60
37,Ask Dr. Ruth,Documentary,Ryan White,2019,Magnolia Pictures,94,100
38,Diane,Drama,Kent Jones,2019,IFC Films,93,67
39,An Elephant Sitting Still (Da xiang xi di er zuo),"Art House & International,Drama",Hu Bo (II),2019,Kimstim,95,73
40,Missing Link,"Action & Adventure,Animation,Comedy",Chris Butler,2019,Annapurna Pictures,89,70
41,Midsommar,Horror,Ari Aster,2019,A24,82,61
